fid,DN,Area
1291,"1",672.951
1292,"1",588.833
1293,"1",588.834
1294,"1",84.119
1295,"1",1093.548
1296,"1",168.238
1297,"1",84.119
1298,"1",5888.344
1299,"1",84.119
1300,"1",84.120
1301,"1",84.120
1302,"1",336.479
1303,"1",84.120
1304,"1",84.120
1305,"1",84.120
1306,"1",84.120
1307,"1",252.360
1308,"1",168.240
1309,"1",252.360
1310,"1",116841.887
1311,"1",2663329.945
1312,"1",2355.362
1313,"1",29441.933
1314,"1",168.241
1315,"1",84.120
1316,"1",84.120
1317,"1",1850.656
1318,"1",3196.585
1319,"1",84.121
1320,"1",84.121
1321,"1",84.121
1322,"1",84.121
1323,"1",2439.514
1324,"1",336.485
1325,"1",168.243
1326,"1",84.122
1327,"1",336.486
1328,"1",3533.104
1329,"1",588.851
1330,"1",84.122
1331,"1",336.487
1332,"1",8664.500
1333,"1",336.488
1334,"1",672.975
1335,"1",588.854
1336,"1",168.244
1337,"1",336.488
1338,"1",84.122
1339,"1",84.122
1340,"1",43491.061
1341,"1",336.489
1342,"1",84.122
1343,"1",2860.161
1344,"1",420.612
1345,"1",84.122
1346,"1",336.490
1347,"1",84.123
1348,"1",2018.942
1349,"1",84.123
1350,"1",504.736
1351,"1",5383.854
1352,"1",757.105
1353,"1",1682.455
1354,"1",84.123
1355,"1",84.123
1356,"1",420.614
1357,"1",168.246
1358,"1",4374.387
1359,"1",841.229
1360,"1",1598.336
1361,"1",841.231
1362,"1",168.246
1363,"1",336.493
1364,"1",841.234
1365,"1",3112.566
1366,"1",84.123
1367,"1",84.124
1368,"1",5215.666
1369,"1",2103.092
1370,"1",420.619
1371,"1",336.496
1372,"1",84.124
1373,"1",588.869
1374,"1",2506137.232
1375,"1",504.745
1376,"1",1345.989
1377,"1",336.498
1378,"1",1345.992
1379,"1",84.125
1380,"1",252.374
1381,"1",336.499
1382,"1",336.499
1383,"1",168.249
1384,"1",252.374
1385,"1",84.125
1386,"1",168.250
1387,"1",84.125
1388,"1",672.999
1389,"1",841.250
1390,"1",336.500
1391,"1",673.000
1392,"1",252.375
1393,"1",168.250
1394,"1",84.125
1395,"1",84.125
1396,"1",588.877
1397,"1",4206.262
1398,"1",336.501
1399,"1",84.125
1400,"1",252.376
1401,"1",84.125
1402,"1",252.376
1403,"1",252.377
1404,"1",84.126
1405,"1",336.503
1406,"1",12029.958
1407,"1",2692.024
1408,"1",336.503
1409,"1",336.504
1410,"1",252.378
1411,"1",3869.796
1412,"1",420.631
1413,"1",336.504
1414,"1",841.261
1415,"1",27761.451
1416,"1",336.505
1417,"1",504.757
1418,"1",252.379
1419,"1",168.253
1420,"1",84.126
1421,"1",168.253
1422,"1",84.126
1423,"1",252.379
1424,"1",14301.464
1425,"1",1177.770
1426,"1",1850.782
1427,"1",588.885
1428,"1",26920.443
1429,"1",19264.977
1430,"1",504.759
1431,"1",1766.658
1432,"1",504.760
1433,"1",84.127
1434,"1",84.127
1435,"1",27845.831
1436,"1",52747.298
1437,"1",336.507
1438,"1",336.507
1439,"1",252.381
1440,"1",66039.397
1441,"1",1850.791
1442,"1",841.269
1443,"1",504.762
1444,"1",168.254
