fid,DN,Area,AreaHa
8565,"1",14815.039,1.482
8573,"1",39478.601,3.948
8574,"1",32323.714,3.232
8576,"1",11195.469,1.120
8583,"1",112038.319,11.204
8585,"1",31818.651,3.182
8611,"1",38300.231,3.830
8615,"1",1299904.256,129.990
8634,"1",19697.366,1.970
8635,"1",10942.979,1.094
8637,"1",14141.706,1.414
8638,"1",11195.510,1.120
8644,"1",31229.509,3.123
8664,"1",11448.079,1.145
8665,"1",385864.472,38.586
8666,"1",85607.773,8.561
8667,"1",32576.405,3.258
8672,"1",17761.312,1.776
8715,"1",51347.978,5.135
8727,"1",13215.820,1.322
8756,"1",315324.472,31.532
8767,"1",26347.533,2.635
8769,"1",16667.135,1.667
8771,"1",38469.087,3.847
8776,"1",38805.607,3.881
8783,"1",1334849.387,133.485
8810,"1",23064.696,2.306
8811,"1",19024.152,1.902
8813,"1",62627.892,6.263
8817,"1",342851.822,34.285
8849,"1",41752.075,4.175
8850,"1",260442.599,26.044
8853,"1",46297.419,4.630
8879,"1",1503795.411,150.380
8911,"1",12795.094,1.280
8912,"1",32997.868,3.300
8913,"1",37711.763,3.771
8916,"1",10353.924,1.035
8917,"1",17761.603,1.776
8925,"1",11953.311,1.195
8942,"1",30556.546,3.056
8959,"1",23990.816,2.399
8976,"1",10438.129,1.044
9017,"1",32240.387,3.224
9019,"1",13721.127,1.372
9026,"1",12963.507,1.296
9056,"1",28620.817,2.862
9059,"1",19529.476,1.953
9060,"1",17761.711,1.776
9093,"1",409440.847,40.944
9125,"1",16162.397,1.616
9137,"1",37123.016,3.712
9163,"1",233342.268,23.334
9164,"1",96048.339,9.605
9166,"1",29715.334,2.972
9174,"1",440002.119,44.000
9180,"1",37038.865,3.704
9204,"1",46467.042,4.647
9205,"1",63555.358,6.356
9206,"1",11616.805,1.162
9209,"1",15404.875,1.540
9225,"1",17761.934,1.776
9256,"1",17761.983,1.776
9257,"1",64397.515,6.440
9258,"1",12374.485,1.237
9259,"1",42679.145,4.268
9287,"1",25085.648,2.509
9308,"1",95965.057,9.597
9309,"1",24075.520,2.408
9311,"1",15489.157,1.549
9319,"1",13132.111,1.313
9348,"1",29883.966,2.988
9374,"1",63471.724,6.347
9376,"1",16246.847,1.625
9377,"1",224254.326,22.425
9378,"1",10522.577,1.052
9381,"1",19698.227,1.970
9386,"1",14226.507,1.423
9387,"1",12542.911,1.254
9419,"1",12458.733,1.246
9420,"1",27863.821,2.786
9421,"1",14984.144,1.498
9423,"1",60441.617,6.044
9431,"1",15573.401,1.557
9434,"1",51771.137,5.177
9436,"1",122061.326,12.206
9450,"1",71216.765,7.122
9463,"1",1379420.051,137.942
9474,"1",21297.744,2.130
9475,"1",147399.044,14.740
9476,"1",33251.330,3.325
9477,"1",338739.231,33.874
9505,"1",17762.195,1.776
9535,"1",86369.557,8.637
9537,"1",20456.016,2.046
9551,"1",59263.504,5.926
9553,"1",38049.896,3.805
9563,"1",56569.713,5.657
9568,"1",55138.620,5.514
